Day,R439 1-C,R439 2-C,R439 3-C,R181 1-C,R181 2-C,R181 3-C,CS 1-C,CS 2-C,CS 3-C,YW 1-C,YW 2-C,YW 3-C,Midway 1-C,Midway 2-C,Midway 3-C
0,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5
4,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,5/5
7,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/3,5/5
10,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/3,5/5
13,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/3,5/5
16,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/2,5/5
19,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/2,5/5
23,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/2,4/5
26,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/2,3/4
29,5/5,5/5,4/5,5/5,5/5,5/5,5/4,5/4,5/5,5/5,5/5,4/5,4/5,4/2,3/4
33,5/5,5/5,4/5,5/5,5/4,5/5,5/4,5/4,5/5,5/5,5/5,4/5,4/3,4/2,3/4
36,5/5,5/5,4/5,5/5,5/4,5/5,5/4,5/4,5/5,4/5,5/5,4/5,4/3,3/2,2/3
39,5/5,4/5,4/5,5/5,4/4,5/5,5/3,5/4,4/5,4/5,4/5,4/5,1/1,2/2,0/0
43,5/5,4/5,4/5,5/5,4/4,5/5,5/3,5/3,2/4,4/4,4/5,4/5,1/0,2/2,0/0
47,4/3,3/5,4/5,5/5,3/4,5/5,4/2,4/2,2/3,3/3,4/5,4/5,1/0,2/2,0/0
51,3/3,2/4,3/5,5/5,3/4,3/5,3/2,3/1,2/2,2/2,4/5,3/5,1/0,2/1,0/0
54,2/3,2/4,3/5,4/5,3/4,3/5,3/1,3/1,2/0,2/1,2/4,2/2,1/0,1/1,0/0
57,2/3,0/4,1/4,3/5,3/2,3/2,1/0,2/0,1/0,1/0,2/4,2/2,0/0,1/1,0/0
60,2/3,0/4,1/4,2/4,1/1,2/2,1/0,0/0,1/0,1/0,2/3,0/2,0/0,0/1,0/0
63,1/2,0/3,1/2,1/3,1/1,2/1,0/0,0/0,0/0,1/0,2/3,0/2,0/0,0/1,0/0
66,1/2,0/3,0/0,0/3,1/0,1/1,0/0,0/0,0/0,1/0,0/1,0/1,0/0,0/1,0/0
69,0/1,0/3,0/0,0/3,0/0,1/1,0/0,0/0,0/0,0/0,0/1,0/1,0/0,0/1,0/0
73,0/0,0/2,0/0,0/3,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
77,0/0,0/0,0/0,0/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
80,0/0,0/0,0/0,0/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
