sex,date,vial,genotype,censored,lifespan,,,
M,2/19/22,2._00_,Midway_00_,2,4,,,
M,2/19/22,8._00_,Midway_00_,2,4,,,
M,2/23/22,5._00_,Midway_00_,2,8,,,
M,2/23/22,8._00_,Midway_00_,2,8,,,
M,2/23/22,9._00_,Midway_00_,2,8,,,
F,2/27/22,2._00_,Midway_00_,2,12,,,
F,2/27/22,6._00_,Midway_00_,2,12,,,
F,2/27/22,10._00_,Midway_00_,2,12,,,
M,3/3/22,2._00_,Midway_00_,2,16,,,
M,3/3/22,10._00_,Midway_00_,2,16,,,
M,3/8/22,2._00_,Midway_00_,2,21,,,
M,3/8/22,5._00_,Midway_00_,2,21,,,
M,3/8/22,7._00_,Midway_00_,2,21,,,
M,3/8/22,10._00_,Midway_00_,2,21,,,
F,3/8/22,8._00_,Midway_00_,2,21,,,
M,3/11/22,4._00_,Midway_00_,2,24,,,
M,3/11/22,5._00_,Midway_00_,2,24,,,
M,3/11/22,6._00_,Midway_00_,2,24,,,
M,3/11/22,6._00_,Midway_00_,2,24,,,
F,3/11/22,9._00_,Midway_00_,2,24,,,
M,3/15/22,6._00_,Midway_00_,2,28,,,
M,3/15/22,9._00_,Midway_00_,2,28,,,
F,3/15/22,5._00_,Midway_00_,2,28,,,
F,3/15/22,6._00_,Midway_00_,2,28,,,
F,3/15/22,8._00_,Midway_00_,2,28,,,
F,3/15/22,9._00_,Midway_00_,2,28,,,
M,3/18/22,4._00_,Midway_00_,2,31,,,
M,3/18/22,7._00_,Midway_00_,2,31,,,
M,3/18/22,10._00_,Midway_00_,2,31,,,
M,3/22/22,1._00_,Midway_00_,2,35,,,
M,3/22/22,1._00_,Midway_00_,2,35,,,
M,3/22/22,1._00_,Midway_00_,2,35,,,
M,3/22/22,2._00_,Midway_00_,2,35,,,
M,3/22/22,3._00_,Midway_00_,2,35,,,
M,3/22/22,4._00_,Midway_00_,2,35,,,
M,3/22/22,4._00_,Midway_00_,2,35,,,
M,3/22/22,5._00_,Midway_00_,2,35,,,
M,3/22/22,6._00_,Midway_00_,2,35,,,
M,3/22/22,10._00_,Midway_00_,2,35,,,
M,3/22/22,10._00_,Midway_00_,2,35,,,
F,3/22/22,2._00_,Midway_00_,2,35,,,
F,3/22/22,6._00_,Midway_00_,2,35,,,
F,3/22/22,8._00_,Midway_00_,2,35,,,
F,3/22/22,10._00_,Midway_00_,2,35,,,
F,3/22/22,10._00_,Midway_00_,2,35,,,
F,3/22/22,10._00_,Midway_00_,2,35,,,
M,3/25/22,2._00_,Midway_00_,2,38,,,
M,3/25/22,2._00_,Midway_00_,2,38,,,
M,3/25/22,2._00_,Midway_00_,2,38,,,
M,3/25/22,3._00_,Midway_00_,2,38,,,
M,3/25/22,4._00_,Midway_00_,2,38,,,
M,3/25/22,6._00_,Midway_00_,2,38,,,
M,3/25/22,7._00_,Midway_00_,2,38,,,
M,3/25/22,9._00_,Midway_00_,2,38,,,
M,3/25/22,10._00_,Midway_00_,2,38,,,
M,3/25/22,10._00_,Midway_00_,2,38,,,
F,3/25/22,1._00_,Midway_00_,2,38,,,
F,3/25/22,2._00_,Midway_00_,2,38,,,
F,3/25/22,2._00_,Midway_00_,2,38,,,
F,3/25/22,6._00_,Midway_00_,2,38,,,
F,3/25/22,7._00_,Midway_00_,2,38,,,
F,3/25/22,8._00_,Midway_00_,2,38,,,
F,3/25/22,9._00_,Midway_00_,2,38,,,
M,3/29/22,1._00_,Midway_00_,2,42,,,
M,3/29/22,1._00_,Midway_00_,2,42,,,
M,3/29/22,1._00_,Midway_00_,2,42,,,
M,3/29/22,2._00_,Midway_00_,2,42,,,
M,3/29/22,2._00_,Midway_00_,2,42,,,
M,3/29/22,3._00_,Midway_00_,2,42,,,
M,3/29/22,3._00_,Midway_00_,2,42,,,
M,3/29/22,4._00_,Midway_00_,2,42,,,
M,3/29/22,4._00_,Midway_00_,2,42,,,
M,3/29/22,5._00_,Midway_00_,2,42,,,
M,3/29/22,5._00_,Midway_00_,2,42,,,
M,3/29/22,5._00_,Midway_00_,2,42,,,
M,3/29/22,7._00_,Midway_00_,2,42,,,
M,3/29/22,7._00_,Midway_00_,2,42,,,
M,3/29/22,7._00_,Midway_00_,2,42,,,
M,3/29/22,8._00_,Midway_00_,2,42,,,
M,3/29/22,8._00_,Midway_00_,2,42,,,
M,3/29/22,8._00_,Midway_00_,2,42,,,
M,3/29/22,8._00_,Midway_00_,2,42,,,
M,3/29/22,8._00_,Midway_00_,2,42,,,
M,3/29/22,9._00_,Midway_00_,2,42,,,
M,3/29/22,9._00_,Midway_00_,2,42,,,
F,3/29/22,1._00_,Midway_00_,2,42,,,
F,3/29/22,1._00_,Midway_00_,2,42,,,
F,3/29/22,1._00_,Midway_00_,2,42,,,
F,3/29/22,2._00_,Midway_00_,2,42,,,
F,3/29/22,2._00_,Midway_00_,2,42,,,
F,3/29/22,2._00_,Midway_00_,2,42,,,
F,3/29/22,3._00_,Midway_00_,2,42,,,
